(IPv6Address('2600:9000:23d0::'), 'MRS')
(IPv6Address('2600:9000:23d1::'), 'MRS')
(IPv6Address('2600:9000:23d3::'), 'LHR')
(IPv6Address('2600:9000:23d4::'), 'LHR')
(IPv6Address('2600:9000:23d4::'), 'LHR')
(IPv6Address('2600:9000:23e1::'), 'ICN')
(IPv6Address('2600:9000:23e4::'), 'ICN')
(IPv6Address('2600:9000:2432::'), 'WAW')
(IPv6Address('2600:9000:2433::'), 'MAN')
(IPv6Address('2600:9000:2434::'), 'MAN')
(IPv6Address('2600:9000:2435::'), 'WAW')
(IPv6Address('2600:9000:2436::'), 'WAW')
(IPv6Address('2600:9000:2436::'), 'WAW')
(IPv6Address('2600:9000:2437::'), 'MAN')
(IPv6Address('2600:9000:2438::'), 'MAN')
(IPv6Address('2600:9000:2438::'), 'MAN')
(IPv6Address('2600:9000:243d::'), 'DUS')
(IPv6Address('2600:9000:2440::'), 'DUS')
(IPv6Address('2600:9000:2442::'), 'DUS')
(IPv6Address('2600:9000:2443::'), 'HAM')
(IPv6Address('2600:9000:2444::'), 'CDG')
(IPv6Address('2600:9000:2444::'), 'CDG')
(IPv6Address('2600:9000:2447::'), 'AMS')
(IPv6Address('2600:9000:244a::'), 'IAD')
(IPv6Address('2600:9000:2467::'), 'SOF')
(IPv6Address('2600:9000:2477::'), 'SOF')
(IPv6Address('2600:9000:2553::'), 'LHR')
(IPv6Address('2600:9000:2554::'), 'LHR')
(IPv6Address('2600:9000:2554::'), 'LHR')
(IPv6Address('2600:9000:2555::'), 'LHR')
(IPv6Address('2600:9000:2555::'), 'LHR')
(IPv6Address('2600:9000:2556::'), 'BNA')
(IPv6Address('2600:9000:2556::'), 'BNA')
(IPv6Address('2600:9000:2557::'), 'BNA')
(IPv6Address('2600:9000:2557::'), 'BNA')
(IPv6Address('2600:9000:2558::'), 'BCN')
(IPv6Address('2600:9000:2558::'), 'BCN')
(IPv6Address('2600:9000:2559::'), 'BCN')
(IPv6Address('2600:9000:2559::'), 'BCN')
(IPv6Address('2600:9000:255a::'), 'HYD')
(IPv6Address('2600:9000:255a::'), 'HYD')
(IPv6Address('2600:9000:255b::'), 'HYD')
(IPv6Address('2600:9000:255b::'), 'HYD')
(IPv6Address('2600:9000:255d::'), 'CPH')
(IPv6Address('2600:9000:255d::'), 'CPH')
(IPv6Address('2600:9000:255e::'), 'PNQ')
(IPv6Address('2600:9000:255f::'), 'PNQ')
(IPv6Address('2600:9000:255f::'), 'PNQ')
(IPv6Address('2600:9000:2561::'), 'PNQ')
(IPv6Address('2600:9000:2569::'), 'BNA')
(IPv6Address('2600:9000:2571::'), 'HYD')
(IPv6Address('2600:9000:2574::'), 'CPH')
(IPv6Address('2600:9000:258d::'), 'SCL')
(IPv6Address('2600:9000:258d::'), 'SCL')
(IPv6Address('2600:9000:25e8::'), 'AMS')
(IPv6Address('2600:9000:25ff::'), 'CMH')
(IPv6Address('2600:9000:2606::'), 'QRO')
(IPv6Address('2600:9000:2607::'), 'QRO')
(IPv6Address('2600:9000:2608::'), 'QRO')
(IPv6Address('2600:9000:2608::'), 'QRO')
(IPv6Address('2600:9000:2609::'), 'MXP')
(IPv6Address('2600:9000:2609::'), 'MXP')
(IPv6Address('2600:9000:260a::'), 'MXP')
(IPv6Address('2600:9000:260a::'), 'MXP')
